date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:20	1467/1467	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Feb%202024%2012:35:12%20GMT	https://gramentheme.com/html/xbuild/assets/js/ajax-mail.js	D:/New%20Web/gramentheme.com/html/xbuild/assets/js/ajax-mail.js	(from https://gramentheme.com/html/xbuild/contact.html)
23:09:20	9771/9771	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:54:00%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/line-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/line-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:20	863/863	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:53:58%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/vector.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/vector.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:21	742/742	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:53:56%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/vector-2.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/vector-2.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:21	45923/45923	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:54:08%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/01.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/01.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:21	223/223	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:53:58%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/prev.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/prev.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:22	258/258	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:53:58%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/next.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/next.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:22	63400/63400	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:54:08%20GMT	https://gramentheme.com/html/xbuild/assets/img/hero/02.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/hero/02.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:22	12974/12974	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:49:16%20GMT	https://gramentheme.com/html/xbuild/assets/img/about/about-shape-1.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/about/about-shape-1.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:22	26264/26264	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:49:14%20GMT	https://gramentheme.com/html/xbuild/assets/img/about/about-shape-2.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/about/about-shape-2.png	(from https://gramentheme.com/html/xbuild/index-2.html)
